STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10,CAT23,CAT29
31,     NKA-MF-002,1,4,2,00000,0,00,045,0,'Mirage Flats Canal      ',,'Lembke Rd         ','Approx 16 miles southwest',99.99,5.117,0,,,42283890,102521953,7,3,02,69,09,1990,2,0,5,2014,1,5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,2,0,5,4.9,10.7,0,0,5,5,99.99,N,0,N,0,0,5,N,4,5,N,2,32.4,2,32.4,4,N,N,5,8,7,38,1,0,316,24,N  ,N  ,N  ,,,,54,0,54,,,,,0,N,3,,0,0,0,1,8,0,0,,0,,Y,8,8,2034,,Y,5/16/2018,B,A ,,,,,,,,,1,,61.5,1,P,4,53.5
31,     NKA-MF-010,1,4,1,00470,0,00,161,0,'Mirage Flats Canal      ',,'470 Lane          ','12 miles east-northeast o',99.99,22.043,0,,,42305991,102441030,1,3,02,69,09,1990,1,0,5,2014,1,4.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,1,0,4.9,7.6,7.6,0,0,4.9,4.9,99.99,N,0,N,0,0,7,N,6,7,N,0,32.4,0,32.4,6,3,N,5,7,7,38,1,0,316,24,N  ,N  ,N  ,,,,42,0,42,,,,,0,N,3,,0,0,0,1,8,0,0,,0,,Y,8,10,2034,,Y,5/16/2018,B,A ,,,,,,,,,2,,85.5,2,F,6,37.24
31,     NKA-RW-002,1,4,8,00000,0,00,145,0,'Red Willow Canal        ',,'County Road 720   ','7.2 miles north east of M',99.99,0,0,,,40154803,100305894,1,3,21,69,09,1955,2,0,5,2014,2,6.2,0,10,0,0,0,0,0,4,0,0,0,A,1,5,7,02,0,00,2,0,5.9,7,14,0.2,0.2,5.9,6.2,99.99,N,0,N,0,0,5,6,5,5,N,2,37.8,2,26.1,5,4,N,5,7,7,,2,0,316,24,N  ,N  ,N  ,,,,51,0,51,,,,,0,N,2,,0,0,0,8,7,0,0,,0,,Y,8,6,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,77.9,0,F,5,86.8
31,    NKA-FCD-001,1,4,1,00000,0,00,063,0,'MEDICINE CREEK DAM SPILL',,'COUNTY RECREATIONA','6.7 miles North & 2.6 mil',99.99,0,0,,,40224615,100125129,18,3,69,69,08,1949,2,0,170,2014,4,7.3,0,0,0,1,1,1,1,5,0,0,0,P,1,5,1,04,0,00,5,0,7.3,15.2,71.6,0,0,7.3,8.5,99.99,N,0,N,0,0,7,8,6,8,N,1,32.4,1,19.8,5,5,N,5,9,7,,,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,1,1,0,0,,0,,Y,8,190,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,78.8,0,F,6,608.6
31,    NKA-FCD-002,1,4,4,00044,0,00,087,0,'TRENTON DAM SPILLWAY    ',,'COUNTY ROAD 44B   ','.06 miles south & 2.6 mil',99.99,0,0,,,40101917,101034891,16,3,69,69,09,1952,2,0,293,2014,5,7.9,0,0,0,1,1,1,1,3,0,0,0,P,1,5,1,04,1,04,3,14,7.3,12.8,133.8,0,0,7.3,7.9,99.99,N,0,N,0,0,7,8,8,8,N,1,34.2,1,20.7,6,5,N,4,9,5,,,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,1,1,0,0,,0,,Y,8,320,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,75.7,0,G,7,1057.02
31,    NKA-FCD-003,1,3,1,00061,0,00,029,0,'ENDERS SPILLWAY         ',,'STATE HIGHWAY 61  ','2.5 MILES SOUTH & 0.75 MI',99.99,0,0,,,40259570,101313290,50,3,69,69,02,1947,2,0,150,2014,5,9.1,0,0,0,1,1,1,1,3,0,0,0,A,1,5,1,04,0,00,7,0,7.3,15.2,113.1,0,0,7.3,7.9,99.99,N,0,N,0,0,7,8,7,8,N,2,59.4,2,36,7,5,N,5,9,8,,,0,316,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,1,1,0,0,,0,,Y,8,160,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,89.1,0,G,7,893.49
31,    NKA-MIR-001,1,4,1,00828,0,00,071,0,'Mirdan Canal            ',,'South Rd 828      ','5.2 M NW of Burewll      ',99.99,0.805,0,,,41492776,991244900,2,3,69,69,09,1970,2,0,6,2014,5,8.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,03,0,00,1,0,8.6,18.6,18.6,0,0,8.6,8.6,99.99,N,0,N,0,0,5,8,8,8,N,A,32.4,A,24.3,6,7,N,5,8,8,,1,0,316,24,N  ,N  ,N  ,,,,27,0,27,,,,,0,N,2,,0,0,0,1,1,N,N,,0,,Y,8,10,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,89.5,0,F,5,159.96
31,   NKA-AINS-023,1,8,8,00000,0,00,017,0,'Ainsworth Canal         ',,'County Road       ','7.7 mi WNW of Ainsworth  ',99.99,0,0,,,42344279,100001040,4,3,25,69,09,1966,2,0,5,2010,2,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,7,03,0,00,2,0,7,5.5,11,0.2,0.2,7,7.3,99.99,N,0,N,0,0,6,7,7,7,N,2,20.7,2,14.4,4,5,N,5,9,6,35,1,0,316,24,N  ,N  ,N  ,,,,41,0,41,,,,,0,N,2,,0,0,0,8,6,0,0,,0,,Y,8,6,2035,,Y,5/16/2018,B,Z ,,,,,,,,,0,,69.2,0,F,6,80.3
31,   NKA-CAMB-001,1,8,8,00000,0,00,065,0,'Cambridge Canal         ',,'Field Access      ','2.5 miles east of Cambrid',99.99,0,0,,,40171337,100071230,1,3,21,69,09,1947,2,0,5,2014,0,6.4,0,0,0,0,0,0,0,5,0,0,0,A,1,5,4,02,0,00,2,0,6.4,8.8,17.8,0,0,6.4,6.4,99.99,N,0,N,0,0,5,7,5,7,N,2,45.9,2,30.6,5,5,N,5,9,6,35,1,0,316,24,N  ,N  ,N  ,,,,40,0,40,,,,,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,5,2034,,Y,5/16/2018,B,Z ,,,,,,,,,0,,83.2,0,F,5,113.92
31,   NKA-CAMB-003,1,8,8,00000,0,00,065,0,'Cambridge Canal         ',,'Field Access      ','4.9 miles east of Cambrid',99.99,0,0,,,40175031,100043583,1,3,02,69,09,1947,1,0,3,2014,1,4.9,0,0,0,0,0,0,0,5,0,0,0,K,1,5,7,02,0,00,1,0,4.9,9.4,9.4,0,0,4.9,4.9,99.99,N,0,N,0,0,4,4,4,5,N,2,9,2,6.3,0,3,N,0,9,6,35,1,0,316,24,N  ,N  ,N  ,,,,83,0,83,,,,,0,N,3,,0,0,0,8,0,0,0,,0,,Y,8,3,2034,,Y,5/16/2018,B,A ,,,,,,,,,1,,26.5,1,P,4,46.06
